process,ans,r,lambda,epoch,n133230,-459.9999888,0.680544268,0.933075848,114,1
133284,-459.9999905,0.680537801,0.933077386,114,1,,,,,
133310,-459.9999905,0.68054412,0.933073046,114,1,,,,,
133298,-459.9999904,0.680541209,0.933073825,114,1,,,,,
133302,-459.9999904,0.680544229,0.933075165,114,1,,,,,
133305,-459.9999904,0.680542177,0.933079019,114,1,,,,,
133313,-459.9999903,0.680542361,0.93307165,114,1,,,,,
133305,-459.9999903,0.680542271,0.933075387,114,1,,,,,
133284,-459.9999903,0.680542216,0.933078453,114,1,,,,,
133287,-459.9999903,0.680537789,0.933071031,114,1,,,,,
133288,-459.9999902,0.680540313,0.933073881,114,1,,,,,
133298,-459.9999902,0.680542156,0.933072281,114,1,,,,,
133297,-459.9999902,0.680542242,0.933078026,114,1,,,,,
133295,-459.9999902,0.680537849,0.933073014,114,1,,,,,
133296,-459.9999902,0.680542576,0.933078421,114,1,,,,,
133298,-459.9999901,0.680541708,0.933077809,114,1,,,,,
133308,-459.9999901,0.680542277,0.933070408,114,1,,,,,
133303,-459.9999901,0.680536547,0.933072188,114,1,,,,,
133283,-459.9999901,0.680544332,0.93307887,114,1,,,,,
133288,-459.9999901,0.680542323,0.93307635,114,1,,,,,
133286,-459.9999901,0.680542128,0.933072749,114,1,,,,,
133300,-459.99999,0.680544249,0.933069651,114,1,,,,,
133284,-459.99999,0.680544354,0.933073795,114,1,,,,,
133289,-459.99999,0.680544676,0.933078098,114,1,,,,,
133311,-459.99999,0.680542128,0.933075694,114,1,,,,,
133287,-459.99999,0.680542314,0.933072097,114,1,,,,,
133309,-459.9999898,0.680541977,0.933075514,114,1,,,,,
133294,-459.9999897,0.680542015,0.933074591,114,1,,,,,
133296,-459.9999896,0.68054235,0.933074964,114,1,,,,,
133300,-459.9999896,0.680542158,0.933077354,114,1,,,,,
133283,-459.9999896,0.680542306,0.93307414,114,1,,,,,
133292,-459.9999896,0.680537834,0.933077767,114,1,,,,,
133287,-459.9999896,0.680536531,0.933077063,114,1,,,,,
133308,-459.9999896,0.680540024,0.933071746,114,1,,,,,
133292,-459.9999896,0.680542104,0.933078609,114,1,,,,,
133282,-459.9999896,0.680541803,0.933077313,114,1,,,,,
133285,-459.9999895,0.680541696,0.933076,114,1,,,,,
133292,-459.9999895,0.680544222,0.933073091,114,1,,,,,
133313,-459.9999894,0.680544739,0.933076493,114,1,,,,,
133308,-459.9999894,0.680537886,0.933073127,114,1,,,,,
133296,-459.9999894,0.680542361,0.933074281,114,1,,,,,
133313,-459.9999894,0.680544658,0.933078672,114,1,,,,,
133309,-459.9999894,0.68053653,0.933075591,114,1,,,,,
133291,-459.9999893,0.6805423,0.933076191,114,1,,,,,
133290,-459.9999893,0.680541245,0.933074361,114,1,,,,,
133289,-459.9999893,0.68053788,0.933072763,114,1,,,,,
133296,-459.9999892,0.680542141,0.933076736,114,1,,,,,
133298,-459.9999892,0.680536563,0.933073556,114,1,,,,,
133294,-459.9999891,0.680541882,0.933075845,114,1,,,,,
133302,-459.999989,0.680536526,0.933078014,114,1,,,,,
133299,-459.999989,0.680544727,0.933071637,114,1,,,,,
133299,-459.9999889,0.680544224,0.933074617,114,1,,,,,
133299,-459.9999889,0.680539562,0.933076735,114,1,,,,,
133302,-459.9999889,0.680539937,0.933077769,114,1,,,,,
133288,-459.9999888,0.680536538,0.933072387,114,1,,,,,
133289,-459.9999888,0.680537808,0.933076152,114,1,,,,,
133306,-459.9999888,0.680540979,0.933076585,114,1,,,,,
133284,-459.9999888,0.680536548,0.933078222,114,1,,,,,
133298,-459.9999887,0.680538263,0.933076146,114,1,,,,,
133300,-459.9999887,0.680540891,0.933074898,114,1,,,,,
133295,-459.9999887,0.680540919,0.933077583,114,1,,,,,
133282,-459.9999886,0.680537294,0.933072168,114,1,,,,,
133289,-459.9999886,0.680536658,0.933074916,114,1,,,,,
133308,-459.9999886,0.680540029,0.933072734,114,1,,,,,
133287,-459.9999886,0.680536662,0.933071325,114,1,,,,,
133301,-459.9999886,0.680537414,0.933069778,114,1,,,,,
133304,-459.9999885,0.680540913,0.933078535,114,1,,,,,
133310,-459.9999885,0.680537292,0.933075653,114,1,,,,,
133291,-459.9999885,0.680541901,0.933078322,114,1,,,,,
133300,-459.9999884,0.680540044,0.933075605,114,1,,,,,
133300,-459.9999884,0.680544646,0.933070133,114,1,,,,,
133284,-459.9999884,0.680542167,0.933079533,114,1,,,,,
133297,-459.9999884,0.680540037,0.933075675,114,1,,,,,
133283,-459.9999884,0.680540807,0.933077102,114,1,,,,,
133301,-459.9999884,0.680540035,0.933072674,114,1,,,,,
133282,-459.9999883,0.680542007,0.933071734,114,1,,,,,
133284,-459.9999883,0.680540784,0.933069936,114,1,,,,,
133303,-459.9999883,0.680544664,0.933079316,114,1,,,,,
133308,-459.9999882,0.680540992,0.933078301,114,1,,,,,
133296,-459.9999882,0.680541009,0.933078031,114,1,,,,,
133311,-459.9999882,0.680537808,0.933073177,114,1,,,,,
133304,-459.9999882,0.680541891,0.933069589,114,1,,,,,
133292,-459.9999882,0.68054172,0.933079473,114,1,,,,,
133307,-459.9999882,0.680540904,0.93307061,114,1,,,,,
133312,-459.9999881,0.680539992,0.933071686,114,1,,,,,
133291,-459.9999881,0.680537227,0.933075371,114,1,,,,,
133287,-459.9999881,0.680543396,0.933072399,114,1,,,,,
133300,-459.9999881,0.680541001,0.933078907,114,1,,,,,
133311,-459.999988,0.680539572,0.933072132,114,1,,,,,
133296,-459.999988,0.680540725,0.933073696,114,1,,,,,
133309,-459.999988,0.680540032,0.933076386,114,1,,,,,
133287,-459.999988,0.680536682,0.933072238,114,1,,,,,
133287,-459.9999879,0.68054099,0.933074609,114,1,,,,,
133300,-459.9999879,0.6805419,0.933073594,114,1,,,,,
133304,-459.9999879,0.680536673,0.933072614,114,1,,,,,
133297,-459.9999878,0.680544677,0.933075959,114,1,,,,,
133286,-459.9999878,0.680536546,0.933078667,114,1,,,,,
133307,-459.9999878,0.680539572,0.933077862,114,1,,,,,
133309,-459.9999878,0.680536521,0.933071237,114,1,,,,,
133296,-459.9999878,0.680537362,0.933071583,114,1,,,,,
133284,-459.9999878,0.680539452,0.933078071,114,1,,,,,
133306,-459.9999877,0.680540851,0.933073171,114,1,,,,,
133288,-459.9999877,0.680539538,0.933074762,114,1,,,,,
133288,-459.9999877,0.680540885,0.933069699,114,1,,,,,
133313,-459.9999876,0.680541713,0.933076743,114,1,,,,,
133296,-459.9999876,0.680541698,0.933072542,114,1,,,,,
133300,-459.9999876,0.680536583,0.933071799,114,1,,,,,
133301,-459.9999876,0.680541884,0.933072552,114,1,,,,,
133306,-459.9999875,0.680541994,0.933078905,114,1,,,,,
133302,-459.9999874,0.680536577,0.933072635,114,1,,,,,
133303,-459.9999874,0.680541852,0.933072566,114,1,,,,,
133306,-459.9999874,0.680540635,0.933074175,114,1,,,,,
133309,-459.9999873,0.680541785,0.933078341,114,1,,,,,
133310,-459.9999873,0.680542149,0.933076016,114,1,,,,,
133291,-459.9999873,0.680537187,0.933079373,114,1,,,,,
133287,-459.9999872,0.68053997,0.93307871,114,1,,,,,
133288,-459.9999872,0.680537632,0.933077364,114,1,,,,,
133309,-459.9999872,0.680537448,0.933075105,114,1,,,,,
133294,-459.9999872,0.680541958,0.933077672,114,1,,,,,
133303,-459.9999872,0.680540788,0.933071837,114,1,,,,,
133311,-459.9999872,0.680540718,0.933071223,114,1,,,,,
133284,-459.9999872,0.680537235,0.933079367,114,1,,,,,
133310,-459.9999872,0.680537244,0.93307326,114,1,,,,,
133294,-459.9999872,0.680538985,0.933077547,114,1,,,,,
133305,-459.9999872,0.68054092,0.933071247,114,1,,,,,
133291,-459.9999871,0.680539065,0.933078695,114,1,,,,,
133308,-459.9999871,0.680537439,0.933074748,114,1,,,,,
133282,-459.9999871,0.680543743,0.933069554,114,1,,,,,
133307,-459.999987,0.680537296,0.933075107,114,1,,,,,
133286,-459.999987,0.68053903,0.933070888,114,1,,,,,
133306,-459.999987,0.680537435,0.933069903,114,1,,,,,
133310,-459.999987,0.680537569,0.93307654,114,1,,,,,
133290,-459.999987,0.680540034,0.933078669,114,1,,,,,
133306,-459.9999869,0.680537522,0.933076902,114,1,,,,,
133307,-459.9999869,0.680541796,0.933072939,114,1,,,,,
133312,-459.9999869,0.680537132,0.933078471,114,1,,,,,
133297,-459.9999869,0.680540797,0.93307909,114,1,,,,,
133288,-459.9999869,0.680537417,0.933073394,114,1,,,,,
133285,-459.9999868,0.680541686,0.933071726,114,1,,,,,
133294,-459.9999868,0.680540881,0.933075371,114,1,,,,,
133294,-459.9999868,0.680537399,0.933076806,114,1,,,,,
133296,-459.9999868,0.680537383,0.933078762,114,1,,,,,
133230,-459.9999867,0.680539038,0.933076231,114,1,,,,,
133304,-459.9999867,0.680537322,0.933078065,114,1,,,,,
133282,-459.9999866,0.680539118,0.933069771,114,1,,,,,
133297,-459.9999866,0.680537258,0.933078564,114,1,,,,,
133292,-459.9999866,0.680537627,0.933074468,114,1,,,,,
133302,-459.9999866,0.68054093,0.933073541,114,1,,,,,
133289,-459.9999866,0.680541006,0.933072115,114,1,,,,,
133298,-459.9999866,0.680537111,0.933076147,114,1,,,,,
133309,-459.9999866,0.68053724,0.933078456,114,1,,,,,
133297,-459.9999866,0.680540968,0.933078494,114,1,,,,,
133300,-459.9999865,0.680541783,0.933070715,114,1,,,,,
133299,-459.9999865,0.680541705,0.933071168,114,1,,,,,
133282,-459.9999865,0.680541758,0.933070812,114,1,,,,,
133283,-459.9999864,0.68053954,0.933069645,114,1,,,,,
133312,-459.9999864,0.680534986,0.933074367,114,1,,,,,
133293,-459.9999864,0.680540699,0.933073558,114,1,,,,,
133283,-459.9999864,0.680538938,0.93307891,114,1,,,,,
133306,-459.9999864,0.68054076,0.93307143,114,1,,,,,
133305,-459.9999863,0.680537389,0.933072843,114,1,,,,,
133306,-459.9999862,0.680540459,0.933075938,114,1,,,,,
133288,-459.9999862,0.680543739,0.933072999,114,1,,,,,
133284,-459.9999862,0.680540631,0.933076328,114,1,,,,,
133299,-459.9999861,0.680544796,0.933079392,114,1,,,,,
133312,-459.9999861,0.680540806,0.933079173,114,1,,,,,
133299,-459.9999861,0.680537338,0.93307726,114,1,,,,,
133306,-459.9999861,0.680540851,0.933075974,114,1,,,,,
133302,-459.9999861,0.680540543,0.933075305,114,1,,,,,
133304,-459.9999861,0.680537115,0.933078921,114,1,,,,,
133311,-459.9999861,0.6805447,0.933070296,114,1,,,,,
133291,-459.999986,0.680540797,0.933071794,114,1,,,,,
133308,-459.9999859,0.680537619,0.933069885,114,1,,,,,
133284,-459.9999859,0.680540639,0.93307108,114,1,,,,,
133310,-459.9999857,0.680537273,0.93307044,114,1,,,,,
133285,-459.9999857,0.680540067,0.933077788,114,1,,,,,
133292,-459.9999857,0.68054374,0.933071834,114,1,,,,,
133312,-459.9999857,0.680538921,0.933073677,114,1,,,,,
133283,-459.9999856,0.680539548,0.933070339,114,1,,,,,
133293,-459.9999856,0.680537324,0.93307278,114,1,,,,,
133308,-459.9999856,0.680534923,0.93307866,114,1,,,,,
133300,-459.9999856,0.680537344,0.933073159,114,1,,,,,
133310,-459.9999855,0.680537254,0.933071903,114,1,,,,,
133284,-459.9999855,0.680539551,0.933077666,114,1,,,,,
133312,-459.9999855,0.680540644,0.933070976,114,1,,,,,
133307,-459.9999855,0.680537567,0.933079302,114,1,,,,,
133292,-459.9999854,0.680543493,0.933078712,114,1,,,,,
133289,-459.9999854,0.680538983,0.933074775,114,1,,,,,
133293,-459.9999854,0.680539125,0.933073897,114,1,,,,,
133303,-459.9999854,0.680539021,0.933077377,114,1,,,,,
133308,-459.9999854,0.680538957,0.933069592,114,1,,,,,
133313,-459.9999854,0.680544842,0.933073056,114,1,,,,,
133298,-459.9999853,0.680540487,0.933072255,114,1,,,,,
133282,-459.9999853,0.680535014,0.933070555,114,1,,,,,
133282,-459.9999853,0.680540808,0.933072764,114,1,,,,,
133294,-459.9999852,0.680537262,0.933075655,114,1,,,,,
133293,-459.9999852,0.680537261,0.933079184,114,1,,,,,
133285,-459.9999852,0.680538901,0.933074929,114,1,,,,,
133300,-459.9999852,0.680537434,0.933073679,114,1,,,,,
133302,-459.999985,0.680540732,0.933075157,114,1,,,,,
133290,-459.999985,0.680536716,0.933069965,114,1,,,,,
133289,-459.999985,0.680537575,0.933075195,114,1,,,,,
133293,-459.9999849,0.680538958,0.933078766,114,1,,,,,
