process,ans,r,lambda,epoch,n5447,10367.98081,0.680542927,0.933076487,114,1
5447,-459.9999885,0.680536534,0.933077735,114,1,,,,,
6365,-459.9999885,0.680540899,0.933079667,114,1,,,,,
5453,-459.9999885,0.680536631,0.933073682,114,1,,,,,
5453,-459.9999885,0.6805378,0.933070401,114,1,,,,,
5453,-459.9999885,0.680536659,0.933071579,114,1,,,,,
5452,-459.9999885,0.680537335,0.933077873,114,1,,,,,
5447,-459.9999884,0.680544646,0.933079153,114,1,,,,,
5448,-459.9999884,0.680536601,0.933071079,114,1,,,,,
6366,-459.9999884,0.680537421,0.93306863,114,1,,,,,
5448,-459.9999884,0.680536599,0.933071088,114,1,,,,,
5453,-459.9999884,0.680540855,0.933072042,114,1,,,,,
6367,-459.9999883,0.680537376,0.933081094,114,1,,,,,
6372,-459.9999883,0.680540869,0.933078278,114,1,,,,,
5444,-459.9999883,0.680536542,0.933071113,114,1,,,,,
5450,-459.9999882,0.680540011,0.933073129,114,1,,,,,
5447,-459.9999882,0.680540632,0.933072675,114,1,,,,,
5447,-459.9999882,0.68053741,0.933078186,114,1,,,,,
5450,-459.9999882,0.680537441,0.933078669,114,1,,,,,
6369,-459.9999881,0.680536533,0.933081606,114,1,,,,,
5451,-459.9999881,0.680540014,0.933074628,114,1,,,,,
5449,-459.999988,0.680539961,0.933073876,114,1,,,,,
5449,-459.999988,0.680537429,0.933070451,114,1,,,,,
5448,-459.999988,0.680540905,0.933075694,114,1,,,,,
5453,-459.999988,0.680536575,0.93307691,114,1,,,,,
5448,-459.999988,0.680540894,0.933076928,114,1,,,,,
5445,-459.999988,0.680540892,0.933078556,114,1,,,,,
5446,-459.9999879,0.680543404,0.933074096,114,1,,,,,
5453,-459.9999879,0.680536521,0.933079102,114,1,,,,,
5451,-459.9999879,0.680539587,0.933078198,114,1,,,,,
5444,-459.9999879,0.680540876,0.933075724,114,1,,,,,
5449,-459.9999879,0.680537336,0.933072499,114,1,,,,,
5446,-459.9999879,0.680540022,0.933078445,114,1,,,,,
5453,-459.9999879,0.680544699,0.933076946,114,1,,,,,
5452,-459.9999879,0.68054093,0.933076006,114,1,,,,,
5450,-459.9999878,0.680537347,0.933073431,114,1,,,,,
5450,-459.9999877,0.680540868,0.933075479,114,1,,,,,
6368,-459.9999877,0.680545023,0.933075208,114,1,,,,,
5452,-459.9999877,0.680539934,0.933075878,114,1,,,,,
6369,-459.9999876,0.680536678,0.933081464,114,1,,,,,
6367,-459.9999876,0.680544717,0.933070303,114,1,,,,,
5449,-459.9999876,0.68054092,0.93307377,114,1,,,,,
5447,-459.9999876,0.680537423,0.933076341,114,1,,,,,
5452,-459.9999876,0.680541226,0.933078436,114,1,,,,,
5444,-459.9999876,0.680539941,0.933078901,114,1,,,,,
5450,-459.9999876,0.680537328,0.933071206,114,1,,,,,
6369,-459.9999875,0.68054007,0.933066695,114,1,,,,,
5448,-459.9999875,0.680536652,0.933076117,114,1,,,,,
5453,-459.9999875,0.680537108,0.933072076,114,1,,,,,
5448,-459.9999875,0.680540633,0.933074185,114,1,,,,,
6373,-459.9999874,0.680537622,0.933068151,114,1,,,,,
5449,-459.9999874,0.680536673,0.93307349,114,1,,,,,
6370,-459.9999874,0.680536604,0.933073706,114,1,,,,,
5446,-459.9999874,0.680536548,0.933077796,114,1,,,,,
5447,-459.9999874,0.68054085,0.933070378,114,1,,,,,
6366,-459.9999873,0.680543352,0.933082595,114,1,,,,,
5452,-459.9999873,0.680537437,0.93307618,114,1,,,,,
5449,-459.9999873,0.680537383,0.933075925,114,1,,,,,
5452,-459.9999873,0.680539518,0.933078299,114,1,,,,,
5447,-459.9999873,0.680537635,0.933073745,114,1,,,,,
5445,-459.9999873,0.680538265,0.9330782,114,1,,,,,
5445,-459.9999873,0.680540058,0.93307059,114,1,,,,,
5447,-459.9999873,0.680539555,0.933070744,114,1,,,,,
5453,-459.9999872,0.680536579,0.933074624,114,1,,,,,
6368,-459.9999872,0.680537112,0.93306861,114,1,,,,,
5450,-459.9999872,0.68053743,0.933076942,114,1,,,,,
5451,-459.9999872,0.680539939,0.933071433,114,1,,,,,
5448,-459.9999872,0.680536589,0.933070943,114,1,,,,,
5452,-459.9999871,0.680537434,0.933079435,114,1,,,,,
5445,-459.9999871,0.680543493,0.933071822,114,1,,,,,
5452,-459.9999871,0.680540711,0.933071861,114,1,,,,,
5450,-459.999987,0.680537639,0.933071405,114,1,,,,,
5452,-459.999987,0.680537596,0.933077709,114,1,,,,,
5446,-459.999987,0.680539581,0.933071707,114,1,,,,,
5449,-459.999987,0.680536612,0.933076407,114,1,,,,,
5453,-459.999987,0.680540687,0.933072975,114,1,,,,,
5453,-459.999987,0.680536671,0.933077772,114,1,,,,,
5449,-459.999987,0.680540931,0.933069679,114,1,,,,,
5450,-459.9999869,0.680536696,0.933071983,114,1,,,,,
5444,-459.9999869,0.680544804,0.933069944,114,1,,,,,
5446,-459.9999869,0.680536624,0.933075774,114,1,,,,,
5447,-459.9999869,0.68054075,0.933076693,114,1,,,,,
6367,-459.9999869,0.680544293,0.9330842,114,1,,,,,
5449,-459.9999869,0.680537329,0.933071908,114,1,,,,,
5453,-459.9999868,0.680539598,0.933076466,114,1,,,,,
5453,-459.9999868,0.680540022,0.933078467,114,1,,,,,
5445,-459.9999868,0.68053752,0.933070213,114,1,,,,,
5452,-459.9999867,0.680537331,0.933075361,114,1,,,,,
5446,-459.9999866,0.680537243,0.933078647,114,1,,,,,
5451,-459.9999866,0.680537307,0.933074847,114,1,,,,,
6367,-459.9999866,0.68053958,0.93308326,114,1,,,,,
6373,-459.9999866,0.680539155,0.933070926,114,1,,,,,
6366,-459.9999865,0.680538935,0.93306816,114,1,,,,,
5451,-459.9999865,0.680540959,0.933070675,114,1,,,,,
5453,-459.9999865,0.680540063,0.933070208,114,1,,,,,
5445,-459.9999865,0.68053726,0.933073371,114,1,,,,,
6370,-459.9999865,0.680540553,0.933082617,114,1,,,,,
5450,-459.9999865,0.680540698,0.933070092,114,1,,,,,
5446,-459.9999865,0.680534947,0.933073538,114,1,,,,,
5452,-459.9999865,0.680537422,0.933069608,114,1,,,,,
5449,-459.9999864,0.680540454,0.933071584,114,1,,,,,
6373,-459.9999864,0.680534644,0.933081186,114,1,,,,,
5445,-459.9999864,0.680539549,0.933071761,114,1,,,,,
5448,-459.9999864,0.680538963,0.933070909,114,1,,,,,
5447,-459.9999864,0.680540013,0.933074696,114,1,,,,,
5449,-459.9999864,0.680538893,0.933073736,114,1,,,,,
5445,-459.9999864,0.680537573,0.933069876,114,1,,,,,
5446,-459.9999864,0.680540875,0.933078727,114,1,,,,,
6372,-459.9999864,0.680537199,0.933066169,114,1,,,,,
5451,-459.9999863,0.680537889,0.93307396,114,1,,,,,
5452,-459.9999863,0.680539969,0.933070584,114,1,,,,,
6373,-459.9999863,0.680539477,0.933066923,114,1,,,,,
5449,-459.9999863,0.68054479,0.933077833,114,1,,,,,
5449,-459.9999863,0.68053726,0.933071636,114,1,,,,,
5451,-459.9999862,0.680537902,0.933073644,114,1,,,,,
6368,-459.9999862,0.68053668,0.933081388,114,1,,,,,
6372,-459.9999862,0.680537119,0.933083341,114,1,,,,,
6372,-459.9999862,0.6805348,0.933075305,114,1,,,,,
5447,-459.9999862,0.680540553,0.933074852,114,1,,,,,
5453,-459.9999861,0.680540771,0.933079385,114,1,,,,,
6369,-459.9999861,0.680537129,0.933074511,114,1,,,,,
5448,-459.9999861,0.680537184,0.93306995,114,1,,,,,
5447,-459.9999861,0.680537279,0.933074811,114,1,,,,,
5453,-459.9999861,0.680537289,0.933072737,114,1,,,,,
5445,-459.9999861,0.680537175,0.933073011,114,1,,,,,
5444,-459.999986,0.680539446,0.933075962,114,1,,,,,
6370,-459.999986,0.680544842,0.93307134,114,1,,,,,
5447,-459.9999859,0.680543534,0.933073502,114,1,,,,,
5452,-459.9999859,0.680537672,0.933079485,114,1,,,,,
5451,-459.9999859,0.68054072,0.933070743,114,1,,,,,
5451,-459.9999859,0.680537153,0.933069669,114,1,,,,,
5449,-459.9999859,0.680540864,0.933073898,114,1,,,,,
5448,-459.9999858,0.680539438,0.933074623,114,1,,,,,
5453,-459.9999858,0.680538985,0.933073487,114,1,,,,,
5451,-459.9999858,0.680537663,0.933070355,114,1,,,,,
5446,-459.9999858,0.680537184,0.933073374,114,1,,,,,
5446,-459.9999858,0.6805391,0.933072664,114,1,,,,,
5450,-459.9999857,0.680540688,0.933076127,114,1,,,,,
6364,-459.9999857,0.680534518,0.933065307,114,1,,,,,
5446,-459.9999857,0.680544784,0.933070688,114,1,,,,,
6369,-459.9999857,0.680540441,0.933080656,114,1,,,,,
5450,-459.9999856,0.680540645,0.933078899,114,1,,,,,
5448,-459.9999856,0.680537263,0.9330758,114,1,,,,,
5446,-459.9999856,0.680537304,0.933069704,114,1,,,,,
5453,-459.9999856,0.680540726,0.933073433,114,1,,,,,
6365,-459.9999856,0.680540921,0.933076786,114,1,,,,,
5446,-459.9999856,0.680539125,0.933076878,114,1,,,,,
5449,-459.9999856,0.680539414,0.933079191,114,1,,,,,
5444,-459.9999855,0.680536429,0.933072703,114,1,,,,,
6365,-459.9999855,0.68053946,0.933077462,114,1,,,,,
5451,-459.9999855,0.680539443,0.933078065,114,1,,,,,
6365,-459.9999855,0.680537331,0.933075494,114,1,,,,,
5449,-459.9999855,0.680538942,0.933076871,114,1,,,,,
5449,-459.9999855,0.680537675,0.933076029,114,1,,,,,
5446,-459.9999855,0.680537232,0.933073749,114,1,,,,,
5450,-459.9999855,0.680540685,0.933072469,114,1,,,,,
5448,-459.9999854,0.680539427,0.933078966,114,1,,,,,
5453,-459.9999854,0.680540761,0.933071653,114,1,,,,,
5446,-459.9999854,0.680540736,0.933071597,114,1,,,,,
5450,-459.9999854,0.680539425,0.933074614,114,1,,,,,
5448,-459.9999853,0.680543514,0.933076618,114,1,,,,,
5450,-459.9999853,0.680539435,0.933076425,114,1,,,,,
5444,-459.9999853,0.680540548,0.933077442,114,1,,,,,
5448,-459.9999853,0.680540752,0.933077685,114,1,,,,,
5447,-459.9999852,0.68053931,0.933072263,114,1,,,,,
5446,-459.9999852,0.680539454,0.933070477,114,1,,,,,
5444,-459.9999852,0.680539198,0.933079362,114,1,,,,,
5452,-459.9999851,0.680537182,0.933074919,114,1,,,,,
5445,-459.9999851,0.680537901,0.933073056,114,1,,,,,
5452,-459.9999851,0.680544479,0.933074647,114,1,,,,,
5447,-459.9999851,0.680534965,0.933072479,114,1,,,,,
5446,-459.9999851,0.680540512,0.933077293,114,1,,,,,
5445,-459.9999851,0.680539014,0.933076013,114,1,,,,,
5451,-459.9999851,0.68054069,0.933071008,114,1,,,,,
5447,-459.999985,0.680539504,0.933070318,114,1,,,,,
5447,-459.999985,0.680534963,0.933075336,114,1,,,,,
5450,-459.999985,0.680540716,0.933074051,114,1,,,,,
5445,-459.999985,0.680539143,0.933070065,114,1,,,,,
5453,-459.999985,0.680537785,0.933074502,114,1,,,,,
5447,-459.999985,0.68054463,0.93307817,114,1,,,,,
6364,-459.999985,0.680540693,0.933069392,114,1,,,,,
5449,-459.999985,0.680537909,0.933072062,114,1,,,,,
5448,-459.999985,0.680537567,0.933074628,114,1,,,,,
6366,-459.9999849,0.680534784,0.93307288,114,1,,,,,
6367,-459.9999849,0.680534984,0.933077346,114,1,,,,,
6372,-459.9999849,0.68054075,0.933083536,114,1,,,,,
5452,-459.9999849,0.680537897,0.933070531,114,1,,,,,
5446,-459.9999849,0.680539485,0.933078394,114,1,,,,,
5450,-459.9999849,0.68054076,0.933071352,114,1,,,,,
